floor,x,y,time,nop
1,0,19,452,0
1,0,19,453,0
1,0,19,454,0
1,0,19,455,0
1,0,19,456,0
1,0,19,457,0
1,0,19,458,0
1,0,19,459,0
1,0,19,460,0
1,0,19,461,0
1,0,19,462,0
1,0,19,463,0
1,0,19,464,0
1,0,19,465,0
1,0,19,466,0
1,0,19,467,0
1,0,19,468,0
1,0,19,469,0
1,0,19,470,0
1,0,19,471,0
1,0,19,472,0
1,0,19,473,0
1,0,19,474,0
1,0,19,475,0
1,0,19,476,0
1,0,19,477,0
1,0,19,478,0
1,0,19,479,0
1,0,19,480,0
1,0,19,481,0
1,0,19,482,0
1,0,19,483,0
1,0,19,484,0
1,0,19,485,0
1,0,19,486,0
1,0,19,487,0
1,0,19,488,0
1,0,19,489,0
1,0,19,490,0
1,0,19,491,0
1,0,19,492,0
1,0,19,493,0
1,0,19,494,0
1,0,19,495,0
1,0,19,496,0
1,0,19,497,0
1,0,19,498,0
1,0,19,499,0
1,0,19,500,0
1,0,19,501,0
1,0,19,502,0
1,0,19,503,0
1,0,19,504,0
1,0,19,505,0
1,0,19,506,0
1,0,19,507,0
1,0,19,508,0
1,0,19,509,0
1,0,19,510,0
1,0,19,511,0
1,0,19,512,0
1,0,19,513,0
1,0,19,514,0
1,0,19,515,0
1,0,19,516,0
1,0,19,517,0
1,0,19,518,0
1,0,19,519,0
1,0,19,520,0
1,0,19,521,0
1,0,19,522,0
1,0,19,523,0
1,0,19,524,0
1,0,19,525,0
1,0,19,526,0
1,0,19,527,0
1,0,19,528,0
1,0,19,529,0
1,0,19,530,0
1,0,19,531,0
1,0,19,532,0
1,0,19,533,0
1,0,19,534,0
1,0,19,535,0
1,0,19,536,0
1,0,19,537,0
1,0,19,538,0
1,0,19,539,0
1,0,19,540,0
1,0,19,541,0
1,0,19,542,0
1,0,19,543,0
1,0,19,544,0
1,0,19,545,0
1,0,19,546,0
1,0,19,547,0
1,0,19,548,0
1,0,19,549,0
1,0,19,550,0
1,0,19,551,0
1,0,19,552,0
1,0,19,553,0
1,0,19,554,0
