floor,x,y,time,nop
1,1,19,421,0
1,1,19,422,0
1,1,19,423,0
1,1,19,424,0
1,1,19,425,0
1,1,19,426,0
1,1,19,427,0
1,1,19,428,0
1,1,19,429,0
1,1,19,430,0
1,1,19,431,0
1,1,19,432,0
1,1,19,433,0
1,1,19,434,0
1,1,19,435,0
1,1,19,436,0
1,1,19,437,0
1,1,19,438,0
1,1,19,439,0
1,1,19,440,0
1,1,19,441,0
1,1,19,442,0
1,1,19,443,0
1,1,19,444,0
1,1,19,445,0
1,1,19,446,0
1,1,19,447,0
1,1,19,448,0
1,1,19,449,0
1,1,19,450,0
1,1,19,451,0
1,1,19,452,0
1,1,19,453,0
1,1,19,454,0
1,1,19,455,0
1,1,19,456,0
1,1,19,457,0
1,1,19,458,0
1,1,19,459,0
1,1,19,460,0
1,1,19,461,0
1,1,19,462,0
1,1,19,463,0
1,1,19,464,0
1,1,19,465,0
1,1,19,466,0
1,1,19,467,0
1,1,19,468,0
1,1,19,469,0
1,1,19,470,0
1,1,19,471,0
1,1,19,472,0
1,1,19,473,0
1,1,19,474,0
1,1,19,475,0
1,1,19,476,0
1,1,19,477,0
1,1,19,478,0
1,1,19,479,0
1,1,19,480,0
1,1,19,481,0
1,1,19,482,0
1,1,19,483,0
1,1,19,484,0
1,1,19,485,0
1,1,19,486,0
1,1,19,487,0
1,1,19,488,0
1,1,19,489,0
1,1,19,490,0
1,1,19,491,0
1,1,19,492,0
1,1,19,493,0
1,1,19,494,0
1,1,19,495,0
1,1,19,496,0
1,1,19,497,0
1,1,19,498,0
1,1,19,499,0
1,1,19,500,0
1,1,19,501,0
1,1,19,502,0
1,1,19,503,0
1,1,19,504,0
1,1,19,505,0
1,1,19,506,0
1,1,19,507,0
1,1,19,508,0
1,1,19,509,0
1,1,19,510,0
1,1,19,511,0
1,1,19,512,0
1,1,19,513,0
1,1,19,514,0
1,1,19,515,0
1,1,19,516,0
1,1,19,517,0
1,1,19,518,0
1,1,19,519,0
1,1,19,520,0
1,1,19,521,0
1,1,19,522,0
1,1,19,523,0
1,1,19,524,0
1,1,19,525,0
1,1,19,526,0
1,1,19,527,0
1,1,19,528,0
1,1,19,529,0
1,1,19,530,0
1,1,19,531,0
1,1,19,532,0
1,1,19,533,0
1,1,19,534,0
1,1,19,535,0
1,1,19,536,1
1,1,19,537,0
1,1,19,538,0
1,1,19,539,0
1,1,19,540,1
1,1,19,541,0
1,1,19,542,0
1,1,19,543,0
1,1,19,544,0
1,1,19,545,1
1,1,19,546,0
1,1,19,547,0
1,1,19,548,0
1,1,19,549,0
1,1,19,550,0
1,1,19,551,0
1,1,19,552,0
1,1,19,553,0
1,1,19,554,0
1,1,19,555,0
1,1,19,556,0
1,1,19,557,0
1,1,19,558,0
1,1,19,559,0
1,1,19,560,0
1,1,19,561,0
1,1,19,562,0
1,1,19,563,0
1,1,19,564,0
1,1,19,565,0
1,1,19,566,0
1,1,19,567,0
1,1,19,568,0
1,1,19,569,0
1,1,19,570,0
1,1,19,571,0
1,1,19,572,0
1,1,19,573,0
1,1,19,574,0
1,1,19,575,0
1,1,19,576,1
1,1,19,577,1
1,1,19,578,0
1,1,19,579,0
1,1,19,580,0
1,1,19,581,0
1,1,19,582,0
1,1,19,583,1
1,1,19,584,1
1,1,19,585,0
1,1,19,586,0
1,1,19,587,0
1,1,19,588,1
1,1,19,589,0
1,1,19,590,0
1,1,19,591,0
1,1,19,592,0
1,1,19,593,0
1,1,19,594,0
1,1,19,595,0
1,1,19,596,0
1,1,19,597,0
1,1,19,598,0
1,1,19,599,0
1,1,19,600,0
1,1,19,601,0
1,1,19,602,0
1,1,19,603,0
1,1,19,604,0
1,1,19,605,0
1,1,19,606,0
1,1,19,607,0
1,1,19,608,0
1,1,19,609,0
1,1,19,610,0
1,1,19,611,0
1,1,19,612,0
1,1,19,613,0
1,1,19,614,0
1,1,19,615,0
1,1,19,616,0
1,1,19,617,0
1,1,19,618,0
1,1,19,619,0
1,1,19,620,0
1,1,19,621,0
1,1,19,622,0
1,1,19,623,0
1,1,19,624,1
1,1,19,625,1
1,1,19,626,1
1,1,19,627,0
1,1,19,628,0
1,1,19,629,0
1,1,19,630,0
1,1,19,631,0
1,1,19,632,0
1,1,19,633,1
1,1,19,634,0
1,1,19,635,0
1,1,19,636,0
1,1,19,637,0
1,1,19,638,0
1,1,19,639,0
1,1,19,640,0
1,1,19,641,0
1,1,19,642,0
1,1,19,643,0
1,1,19,644,0
1,1,19,645,0
1,1,19,646,0
1,1,19,647,0
1,1,19,648,0
1,1,19,649,1
1,1,19,650,1
1,1,19,651,1
1,1,19,652,0
1,1,19,653,0
1,1,19,654,0
1,1,19,655,0
1,1,19,656,0
1,1,19,657,0
1,1,19,658,0
1,1,19,659,0
1,1,19,660,0
1,1,19,661,0
1,1,19,662,0
1,1,19,663,0
1,1,19,664,0
1,1,19,665,0
1,1,19,666,0
1,1,19,667,0
1,1,19,668,0
1,1,19,669,0
1,1,19,670,0
1,1,19,671,0
1,1,19,672,0
1,1,19,673,0
1,1,19,674,0
1,1,19,675,0
1,1,19,676,0
1,1,19,677,0
1,1,19,678,0
1,1,19,679,0
1,1,19,680,0
1,1,19,681,0
1,1,19,682,0
1,1,19,683,0
1,1,19,684,0
1,1,19,685,0
1,1,19,686,0
1,1,19,687,0
1,1,19,688,0
1,1,19,689,0
1,1,19,690,0
1,1,19,691,0
1,1,19,692,0
1,1,19,693,0
1,1,19,694,0
1,1,19,695,0
1,1,19,696,0
1,1,19,697,0
1,1,19,698,0
1,1,19,699,0
1,1,19,700,0
1,1,19,701,0
1,1,19,702,0
1,1,19,703,0
1,1,19,704,0
1,1,19,705,0
1,1,19,706,0
1,1,19,707,0
1,1,19,708,0
1,1,19,709,0
1,1,19,710,0
1,1,19,711,0
1,1,19,712,0
1,1,19,713,0
1,1,19,714,0
1,1,19,715,1
1,1,19,716,1
1,1,19,717,0
1,1,19,718,0
1,1,19,719,1
1,1,19,720,0
1,1,19,721,0
1,1,19,722,1
1,1,19,723,1
1,1,19,724,1
1,1,19,725,1
1,1,19,726,0
1,1,19,727,0
1,1,19,728,0
1,1,19,729,0
1,1,19,730,0
1,1,19,731,0
1,1,19,732,0
1,1,19,733,0
1,1,19,734,0
1,1,19,735,0
1,1,19,736,1
1,1,19,737,0
1,1,19,738,1
1,1,19,739,1
1,1,19,740,1
1,1,19,741,1
1,1,19,742,1
1,1,19,743,1
1,1,19,744,1
1,1,19,745,1
1,1,19,746,1
1,1,19,747,1
1,1,19,748,1
1,1,19,749,1
1,1,19,750,1
1,1,19,751,1
1,1,19,752,1
1,1,19,753,1
1,1,19,754,0
1,1,19,755,0
1,1,19,756,0
1,1,19,757,0
1,1,19,758,0
1,1,19,759,0
1,1,19,760,0
1,1,19,761,0
1,1,19,762,0
1,1,19,763,0
1,1,19,764,0
1,1,19,765,0
1,1,19,766,0
1,1,19,767,0
1,1,19,768,0
